beach_name,collection_date,site_name,e_coli,Date,is_outlier
Sunnyside Beach,2024-08-12,20,100,2024-08-12,Normal
Sunnyside Beach,2024-08-12,21,100,2024-08-12,Normal
Sunnyside Beach,2024-08-12,19,30,2024-08-12,Normal
Sunnyside Beach,2024-08-12,22,30,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-11,29,180,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,33,110,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,32,150,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,31,140,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,30,180,2024-08-11,Normal
Sunnyside Beach,2024-08-11,18,70,2024-08-11,Normal
Sunnyside Beach,2024-08-11,17,60,2024-08-11,Normal
Sunnyside Beach,2024-08-11,20,30,2024-08-11,Normal
Sunnyside Beach,2024-08-11,21,60,2024-08-11,Normal
Sunnyside Beach,2024-08-11,19,10,2024-08-11,Normal
Sunnyside Beach,2024-08-11,22,170,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-10,29,290,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,33,230,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,32,100,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,31,240,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,30,210,2024-08-10,Normal
Sunnyside Beach,2024-08-10,18,190,2024-08-10,Normal
Sunnyside Beach,2024-08-10,17,80,2024-08-10,Normal
Sunnyside Beach,2024-08-10,20,140,2024-08-10,Normal
Sunnyside Beach,2024-08-10,21,240,2024-08-10,Normal
Sunnyside Beach,2024-08-10,19,250,2024-08-10,Normal
Sunnyside Beach,2024-08-10,22,340,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-09,29,460,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,33,300,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,32,110,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,31,50,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,30,90,2024-08-09,Normal
Sunnyside Beach,2024-08-09,18,710,2024-08-09,Normal
Sunnyside Beach,2024-08-09,17,160,2024-08-09,Normal
Sunnyside Beach,2024-08-09,20,210,2024-08-09,Normal
Sunnyside Beach,2024-08-09,21,90,2024-08-09,Normal
Sunnyside Beach,2024-08-09,19,260,2024-08-09,Normal
Sunnyside Beach,2024-08-09,22,200,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-08,29,110,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,33,70,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,32,90,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,31,220,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,30,100,2024-08-08,Normal
Sunnyside Beach,2024-08-08,18,20,2024-08-08,Normal
Sunnyside Beach,2024-08-08,17,210,2024-08-08,Normal
Sunnyside Beach,2024-08-08,20,60,2024-08-08,Normal
Sunnyside Beach,2024-08-08,21,50,2024-08-08,Normal
Sunnyside Beach,2024-08-08,19,170,2024-08-08,Normal
Sunnyside Beach,2024-08-08,22,80,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-07,29,620,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,33,160,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,32,310,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,31,180,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,30,380,2024-08-07,Normal
Sunnyside Beach,2024-08-07,18,100,2024-08-07,Normal
Sunnyside Beach,2024-08-07,17,70,2024-08-07,Normal
Sunnyside Beach,2024-08-07,20,220,2024-08-07,Normal
Sunnyside Beach,2024-08-07,21,160,2024-08-07,Normal
Sunnyside Beach,2024-08-07,19,430,2024-08-07,Normal
Sunnyside Beach,2024-08-07,22,270,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-06,29,580,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,33,230,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,32,570,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,31,360,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,30,620,2024-08-06,Normal
Sunnyside Beach,2024-08-06,18,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,17,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,20,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,21,980,2024-08-06,Normal
Sunnyside Beach,2024-08-06,19,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,22,1000,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-05,29,40,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,33,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,32,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,31,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,30,20,2024-08-05,Normal
Sunnyside Beach,2024-08-05,18,40,2024-08-05,Normal
Sunnyside Beach,2024-08-05,17,10,2024-08-05,Normal
Sunnyside Beach,2024-08-05,20,360,2024-08-05,Normal
Sunnyside Beach,2024-08-05,21,240,2024-08-05,Normal
Sunnyside Beach,2024-08-05,19,100,2024-08-05,Normal
